Date, Bike Price ,Number of Bikes Sold
8/7/2024, $107.82 ,398880731
8/6/2024, $103.84 ,409012100
8/5/2024, $92.06 ,552842400
8/2/2024, $103.76 ,482027500
8/1/2024, $117.53 ,523462300
7/31/2024, $112.90 ,473174200
7/30/2024, $111.52 ,486833300
7/29/2024, $113.69 ,248152100
7/26/2024, $116.19 ,293399100
7/25/2024, $113.04 ,460067000
7/24/2024, $119.17 ,327776900
7/23/2024, $122.78 ,173911000
7/22/2024, $120.35 ,258068900
7/19/2024, $120.35 ,217223800
7/18/2024, $121.85 ,320979500
7/17/2024, $121.35 ,390086200
7/16/2024, $128.44 ,214769500
7/15/2024, $130.56 ,208326200
7/12/2024, $128.26 ,252680500
7/11/2024, $135.75 ,374782700
7/10/2024, $134.03 ,248978600
7/9/2024, $130.35 ,285366600
7/8/2024, $127.49 ,237677300
7/5/2024, $127.38 ,214176700
7/3/2024, $121.66 ,215749000
7/2/2024, $121.13 ,218374000
7/1/2024, $123.47 ,284885500
6/28/2024, $124.58 ,315516700
6/27/2024, $124.10 ,252571700
6/26/2024, $126.13 ,362975900
6/25/2024, $121.20 ,425787500
6/24/2024, $123.24 ,476060900
6/21/2024, $127.12 ,655484700
6/20/2024, $139.80 ,517768400
6/18/2024, $131.14 ,294335100
6/17/2024, $132.99 ,288504400
6/14/2024, $129.96 ,309320400
6/13/2024, $129.39 ,260704500
6/12/2024, $123.06 ,299595000
6/11/2024, $121.77 ,222551200
6/10/2024, $120.37 ,314162700
6/7/2024, $119.77 ,412386000
6/6/2024, $124.05 ,664696000
6/5/2024, $118.37 ,528402000
6/4/2024, $115.72 ,403324000
6/3/2024, $113.62 ,438392000
5/31/2024, $112.52 ,613263000
5/30/2024, $114.65 ,487350000
5/29/2024, $113.05 ,557442000
5/28/2024, $110.24 ,652728000
5/24/2024, $104.45 ,429494000
5/23/2024, $102.03 ,835065000
5/22/2024, $95.46 ,548648000
5/21/2024, $93.60 ,328946000
5/20/2024, $93.75 ,318764000
5/17/2024, $94.37 ,359691000
5/16/2024, $94.91 ,323952000
5/15/2024, $92.47 ,417735000
5/14/2024, $89.60 ,296507000
5/13/2024, $90.48 ,289680000
5/10/2024, $90.31 ,335325000
5/9/2024, $90.53 ,378013000
5/8/2024, $89.48 ,325721000
5/7/2024, $91.10 ,437342000
5/6/2024, $89.39 ,376203000
5/3/2024, $87.79 ,398341000
5/2/2024, $84.45 ,377898000
5/1/2024, $85.08 ,559863000
4/30/2024, $87.24 ,363709000
4/29/2024, $87.60 ,388971000
4/26/2024, $83.82 ,551011000
4/25/2024, $78.87 ,424641000
4/24/2024, $83.95 ,512208000
4/23/2024, $80.77 ,438559000
4/22/2024, $78.10 ,596341000
4/19/2024, $83.15 ,875198000
4/18/2024, $84.97 ,447260000
4/17/2024, $88.34 ,495400000
4/16/2024, $86.43 ,370453000
4/15/2024, $89.10 ,443077000
4/12/2024, $89.70 ,426805000
4/11/2024, $87.42 ,431637000
4/10/2024, $83.93 ,431929000
4/9/2024, $87.44 ,503547000
4/8/2024, $88.70 ,283220000
4/5/2024, $86.87 ,399678000
4/4/2024, $90.41 ,434965000
4/3/2024, $88.48 ,370067000
4/2/2024, $88.45 ,433064000
4/1/2024, $90.30 ,452441000
3/28/2024, $90.00 ,435212000
3/27/2024, $93.11 ,586067000
3/26/2024, $95.85 ,513648000
3/25/2024, $93.94 ,552136000
3/22/2024, $91.14 ,586719000
3/21/2024, $92.30 ,480372000
3/20/2024, $89.80 ,479063000
3/19/2024, $86.70 ,672171000
3/18/2024, $90.39 ,668976000
3/15/2024, $86.93 ,642086000
3/14/2024, $89.58 ,602318000
3/13/2024, $91.06 ,635713000
3/12/2024, $88.05 ,668075000
3/11/2024, $86.43 ,678364000
3/8/2024, $95.14 ,1142269000
3/7/2024, $90.16 ,608119000
3/6/2024, $88.02 ,582520000
3/5/2024, $85.27 ,520639000
3/4/2024, $84.13 ,615616000
3/1/2024, $80.00 ,479135000
2/29/2024, $79.09 ,507289000
2/28/2024, $77.62 ,393110000
2/27/2024, $79.38 ,391705000
2/26/2024, $79.70 ,503973000
2/23/2024, $80.79 ,829388000
2/22/2024, $75.03 ,865100000
2/21/2024, $68.01 ,690298000
2/20/2024, $71.95 ,704833000
2/16/2024, $74.10 ,495327000
2/15/2024, $73.87 ,420122000
2/14/2024, $73.20 ,504917000
